decision_season,fg_id,buy_season,keeper_salary,years_control_left,kept,rp_prior,PA_prior,IP_prior,SV_prior,role,pos_group,birth_year,played_prior,age,is_pit
2025,24492,2024,18,2,0,5.064689224481652,0.0,116.66666666666667,0.0,PIT,SP,1999.0,1,26.0,1
2025,13743,2024,19,2,0,7.262146640919472,0.0,174.33333333333331,0.0,PIT,SP,1994.0,1,31.0,1
2025,30134,2024,17,2,1,7.889838982238475,0.0,173.66666666666663,0.0,PIT,UNKNOWN,1999.0,1,26.0,1
2025,18360,2024,28,2,0,5.039339987415567,469.0,0.0,0.0,HIT,UNKNOWN,1997.0,1,28.0,0
2025,17338,2024,1,2,0,6.1306585695248375,635.0,1.3333333333333337,0.0,HIT,OF,1997.0,1,28.0,0
2025,13774,2024,15,2,0,5.59832611321934,0.0,165.33333333333331,0.0,PIT,SP,1994.0,1,31.0,1
2025,20437,2024,27,2,0,3.4165009230331194,325.0,0.0,0.0,HIT,CI,1999.0,1,26.0,0
2025,11737,2024,9,2,0,6.9746179489380715,659.0,0.0,0.0,HIT,OF,1992.0,1,33.0,0
2025,23003,2024,5,2,1,7.290578642368166,619.0,0.0,0.0,HIT,UNKNOWN,1998.0,1,27.0,0
2025,12768,2024,11,2,0,7.7095097649768345,0.0,166.33333333333331,0.0,PIT,SP,1989.0,1,36.0,1
2025,19950,2024,15,2,0,6.123929849577001,633.0,0.0,0.0,HIT,MI,1998.0,1,27.0,0
2025,19953,2024,9,2,0,4.054844341307851,387.0,0.0,0.0,HIT,OF,1998.0,1,27.0,0
2025,14344,2023,30,1,0,7.1534309756175976,685.0,0.0,0.0,HIT,UNKNOWN,1994.0,1,31.0,0
2025,21524,2023,3,1,0,3.59282341838594,282.0,0.0,0.0,HIT,C,1996.0,1,29.0,0
2025,15986,2023,26,1,0,9.57954029450125,688.0,0.0,0.0,HIT,UNKNOWN,1995.0,1,30.0,0
2025,15998,2023,8,1,1,6.686462015382638,569.0,0.0,0.0,HIT,UNKNOWN,1995.0,1,30.0,0
2025,18568,2023,10,1,0,6.703400263578915,672.0,0.0,0.0,HIT,CI,1997.0,1,28.0,0
2025,22664,2023,3,1,0,3.2801049005009846,351.0,0.0,0.0,HIT,C,2000.0,1,25.0,0
2025,16556,2023,28,1,1,4.244735880211619,435.0,0.0,0.0,HIT,UNKNOWN,1997.0,1,28.0,0
2025,26323,2023,6,1,0,6.895155733085215,656.0,0.0,0.0,HIT,OF,1997.0,1,28.0,0
2025,17130,2023,17,1,1,12.021030519746038,0.0,69.33333333333331,34.0,PIT,UNKNOWN,1990.0,1,35.0,1
2025,5361,2023,33,1,0,8.13296706251444,638.0,0.0,0.0,HIT,UNKNOWN,1989.0,1,36.0,0
2025,18684,2023,30,1,0,0.0,0.0,0.0,0.0,PIT,UNKNOWN,1995.0,0,30.0,1
2025,19197,2023,21,1,1,5.912578562591637,544.0,0.0,0.0,HIT,UNKNOWN,1995.0,1,30.0,0
2025,25878,2023,27,1,1,8.691232644439072,684.0,0.0,0.0,HIT,UNKNOWN,2000.0,1,25.0,0
2025,16162,2023,34,1,0,0.0,0.0,0.0,0.0,PIT,SP,1993.0,0,32.0,1
2025,19251,2023,32,1,0,7.5474834051375,695.0,0.0,0.0,HIT,CI,1994.0,1,31.0,0
2025,13621,2023,1,1,0,4.100492036295456,463.0,0.0,0.0,HIT,CI,1993.0,1,32.0,0
2025,11609,2023,13,1,1,4.029445595748649,358.0,0.0,0.0,HIT,UNKNOWN,1992.0,1,33.0,0
2025,14212,2023,23,1,0,10.035591834689644,0.0,71.0,34.0,PIT,UNKNOWN,1994.0,1,31.0,1
2025,14221,2023,6,1,0,5.651205027851009,574.0,0.0,0.0,HIT,UTIL,1992.0,1,33.0,0
2025,17312,2023,13,1,0,5.839343783987821,0.0,134.66666666666663,0.0,PIT,SP,1995.0,1,30.0,1
2025,13301,2023,20,1,1,3.6579408891437715,293.0,0.0,0.0,HIT,UNKNOWN,1990.0,1,35.0,0
